car_name;reviews_count;fuel_type;engine_displacement;no_cylinder;seating_capacity;transmission_type;fuel_tank_capacity;body_type;rating;starting_price;ending_price;max_torque_nm;max_torque_rpm;max_power_bhp;max_power_rp;churn
Mini Cooper SE;3;Electric;0;0;4;Automatic;0;Hatchback;4.5;5090000;5,090,000;270;1000;181.03;0;True
Mini Cooper Convertible;14;Petrol;1998;4;4;Automatic;44;Convertible;4.5;5150000;5,150,000;280;1250;189.08;6000;True
Toyota Glanza;3;Petrol;1197;4;5;Automatic;37;Hatchback;4.5;5590000;5,590,000;113;4400;88.5;6000;True
Compass Trailhawk;1;Diesel;1998;4;5;Automatic;60;SUV;4.5;5450000;5,690,000;350;2500;170;3750;True
Audi e-tron GT;1;Electric;0;0;5;Electric;0;Coupe;4.5;5800000;5,800,000;630;0;522.99;0;True
Jeep Wrangler;18;Petrol;1998;4;5;Automatic;0;SUV;4.5;5635000;6,035,000;400;3000;268;5250;True
Mercedes-Benz C-Class;11;Diesel;1993;4;5;Automatic;0;Sedan;4.5;5500000;6,100,000;550;2200;261.49;4200;True
Kia EV6;15;Electric;0;0;5;Electric;0;SUV;4.5;5995000;6,495,000;605;0;320.55;0;True
Audi Q5;3;Petrol;1984;4;5;Manual;0;SUV;4.5;5990000;6,555,000;370;4300;245.59;6000;True
Lexus ES;31;Petrol;2487;4;5;Automatic;65;Sedan;4.5;5950000;6,560,000;202;5200;214.56;5700;True
Volvo S90;8;Petrol;1969;4;5;Automatic;60;Sedan;4.5;6590000;6,590,000;350;0;246.58;0;True
Volvo XC60;24;Petrol;1998;5;5;Automatic;70;SUV;4.5;6590000;6,590,000;440;3000;246.74;4000;True
Audi A6;19;Petrol;1984;4;5;Automatic;73;Sedan;4.5;5999000;6,599,000;370;4500;241.3;6500;True
BMW X3;6;Petrol;1998;4;5;Automatic;0;SUV;4.5;6190000;6,790,000;350;4800;248.08;5200;True
Mercedes-Benz GLC;38;Diesel;1950;4;5;Automatic;66;SUV;4.5;6200000;6,800,000;400;2800;194;3800;True
BMW 3 Series Gran Limousine;43;Petrol;1998;4;5;Automatic;59;Sedan;4.5;4690000;6,890,000;400;4400;254.79;5000;True
BMW i4;8;Electric;0;0;5;Electric;0;Sedan;4.5;6990000;6,990,000;430;0;335.25;0;True
Land Rover Discovery Sport;6;Petrol;1997;4;7;Automatic;70;SUV;4.5;6530000;7,139,000;365;4500;245.4;5500;True
Lexus NX;1;Petrol;2487;4;5;Automatic;55;SUV;4;6490000;7,160,000;239;4500;187.74;6000;True
BMW 5 Series;6;Diesel;2993;6;5;Automatic;0;Sedan;4.5;6450000;7,450,000;620;2500;261.49;4000;True
Jaguar XF;31;Diesel;1997;4;5;Automatic;0;Sedan;4.5;7160000;7,600,000;430;2500;201.15;4250;True
Honda City Hybrid;1;Petrol;1498;4;5;Automatic;40;Sedan;4.5;8150000;8,150,000;127;5000;96.55;6400;True
Mercedes-Benz EQC;1;Electric;0;0;5;Automatic;0;SUV;4.5;8247000;8,247,000;760;0;402.3;0;True
Mini Cooper 3 DOOR;15;Petrol;1998;4;4;Automatic;44;Hatchback;4.5;8470000;8,470,000;280;1250;189.08;6000;True
BMW Z4;12;Petrol;2998;6;2;Automatic;52;Convertible;4.5;7190000;8,490,000;500;4500;335;6500;True
Mercedes-Benz E-Class;8;Diesel;2925;6;5;Automatic;0;Sedan;4.5;6700000;8,500,000;600;3200;281.61;4600;True
BMW M2;5;Petrol;2979;6;4;Automatic;52;Coupe;4.5;8500000;8,500,000;550;5230;410;6250;True
Porsche Cayenne Coupe;1;Petrol;3996;8;4;Automatic;0;SUV;3.5;18900000;18,900,000;850;4500;631.62;6000;False
Audi Q7;9;Petrol;2995;6;7;Automatic;0;SUV;4.5;8249000;8,808,000;500;4500;335.25;6400;True
